,locations
0,"<p aria-label=""GET MOBILE ORDERING"" aria-level=""1"" class=""zigzagsnippetheading"" role=""heading"">GET MOBILE ORDERING</p>"
1,"<p aria-label=""ROTH FOOD COURT"" aria-level=""2"" class=""zigzagsnippetheading"" role=""heading"">ROTH FOOD COURT</p>"
2,"<p aria-label=""STUDENT ACTIVITIES CENTER (SAC) FOOD COURT"" aria-level=""3"" class=""zigzagsnippetheading"" role=""heading"">STUDENT ACTIVITIES CENTER (SAC) FOOD COURT</p>"
3,"<p aria-label=""URBAN EATS AT EAST SIDE DINING"" aria-level=""4"" class=""zigzagsnippetheading"" role=""heading"">URBAN EATS AT EAST SIDE DINING</p>"
4,"<p aria-label=""HALAL NY AT EAST SIDE DINING"" aria-level=""5"" class=""zigzagsnippetheading"" role=""heading"">HALAL NY AT EAST SIDE DINING</p>"
5,"<p aria-label=""EMPORIUM AT EAST SIDE DINING"" aria-level=""6"" class=""zigzagsnippetheading"" role=""heading"">EMPORIUM AT EAST SIDE DINING</p>"
6,"<p aria-label=""DELANCEY STREET KOSHER (AT EAST SIDE EMPORIUM)"" aria-level=""7"" class=""zigzagsnippetheading"" role=""heading"">DELANCEY STREET KOSHER (AT EAST SIDE EMPORIUM)</p>"
7,"<p aria-label=""ISLAND SOUL (AT EAST SIDE EMPORIUM)"" aria-level=""8"" class=""zigzagsnippetheading"" role=""heading"">ISLAND SOUL (AT EAST SIDE EMPORIUM)</p>"
8,"<p aria-label=""SEAWOLVES KITCHEN (AT EAST SIDE DINING)"" aria-level=""9"" class=""zigzagsnippetheading"" role=""heading"">SEAWOLVES KITCHEN (AT EAST SIDE DINING)</p>"
9,"<p aria-label=""STARBUCKS"" aria-level=""10"" class=""zigzagsnippetheading"" role=""heading"">STARBUCKS</p>"
10,"<p aria-label=""SAC MARKET"" aria-level=""11"" class=""zigzagsnippetheading"" role=""heading"">SAC MARKET</p>"
11,"<p aria-label=""JASMINE"" aria-level=""12"" class=""zigzagsnippetheading"" role=""heading"">JASMINE</p>"
12,"<p aria-label=""MARKET AT WEST"" aria-level=""13"" class=""zigzagsnippetheading"" role=""heading"">MARKET AT WEST</p>"
13,"<p aria-label=""PEET'S COFFEE"" aria-level=""14"" class=""zigzagsnippetheading"" role=""heading"">PEET'S COFFEE</p>"
14,"<p aria-label=""CHATIME MOBILE TRUCK (ON TOLL DRIVE)"" aria-level=""15"" class=""zigzagsnippetheading"" role=""heading"">CHATIME MOBILE TRUCK (ON TOLL DRIVE)</p>"
15,"<p aria-label=""AVENUE-C"" aria-level=""16"" class=""zigzagsnippetheading"" role=""heading"">AVENUE-C</p>"
16,"<p aria-label=""EAST SIDE DINE-IN"" aria-level=""17"" class=""zigzagsnippetheading"" role=""heading"">EAST SIDE DINE-IN</p>"
17,"<p aria-label=""WEST SIDE DINE-IN"" aria-level=""18"" class=""zigzagsnippetheading"" role=""heading"">WEST SIDE DINE-IN</p>"
